2022/03/28 08:07:31 [warn] 349#349: *1418 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/02/0000000024 while reading upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /auth/resources/uq50i/common/keycloak/node_modules/angular/angular.min.js.map HTTP/2.0", upstream: "http://172.20.0.2:8080/auth/resources/uq50i/common/keycloak/node_modules/angular/angular.min.js.map", host: "keycloak.cpnv-srw3.ch"
2022/03/28 08:08:48 [warn] 348#348: *1526 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/02/0000000025 while reading upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /auth/resources/uq50i/welcome/keycloak/bg.png HTTP/2.0", upstream: "http://172.20.0.2:8080/auth/resources/uq50i/welcome/keycloak/bg.png", host: "keycloak.cpnv-srw3.ch"
2022/03/28 08:08:48 [warn] 348#348: *1526 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/02/0000000026 while reading upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /auth/resources/uq50i/common/keycloak/node_modules/patternfly/dist/fonts/OpenSans-Bold-webfont.woff2 HTTP/2.0", upstream: "http://172.20.0.2:8080/auth/resources/uq50i/common/keycloak/node_modules/patternfly/dist/fonts/OpenSans-Bold-webfont.woff2", host: "keycloak.cpnv-srw3.ch"
2022/03/28 08:08:48 [warn] 348#348: *1526 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/02/0000000027 while reading upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /auth/resources/uq50i/common/keycloak/node_modules/patternfly/dist/fonts/OpenSans-Light-webfont.woff2 HTTP/2.0", upstream: "http://172.20.0.2:8080/auth/resources/uq50i/common/keycloak/node_modules/patternfly/dist/fonts/OpenSans-Light-webfont.woff2", host: "keycloak.cpnv-srw3.ch"
2022/03/28 08:22:09 [error] 366#366: *1752 connect() failed (111: Connection refused) while connecting to upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /auth HTTP/2.0", upstream: "http://172.20.0.2:8080/auth", host: "keycloak.cpnv-srw3.ch"
2022/03/28 08:22:09 [error] 366#366: *1751 connect() failed (111: Connection refused) while connecting to upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /auth/realms/master/protocol/openid-connect/token HTTP/2.0", upstream: "http://172.20.0.2:8080/auth/realms/master/protocol/openid-connect/token", host: "keycloak.cpnv-srw3.ch"
2022/03/28 08:22:09 [error] 366#366: *1752 connect() failed (111: Connection refused) while connecting to upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /favicon.ico HTTP/2.0", upstream: "http://172.20.0.2:8080/favicon.ico", host: "keycloak.cpnv-srw3.ch", referrer: "https://keycloak.cpnv-srw3.ch/auth"
2022/03/28 08:22:11 [error] 366#366: *1752 connect() failed (111: Connection refused) while connecting to upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /auth HTTP/2.0", upstream: "http://172.20.0.2:8080/auth", host: "keycloak.cpnv-srw3.ch"
2022/03/28 08:22:34 [warn] 366#366: *1752 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/02/0000000028 while reading upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /auth/resources/uq50i/common/keycloak/node_modules/patternfly/dist/fonts/OpenSans-Light-webfont.woff2 HTTP/2.0", upstream: "http://172.20.0.2:8080/auth/resources/uq50i/common/keycloak/node_modules/patternfly/dist/fonts/OpenSans-Light-webfont.woff2", host: "keycloak.cpnv-srw3.ch"
2022/03/28 08:22:34 [warn] 366#366: *1752 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/9/02/0000000029 while reading upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /auth/resources/uq50i/common/keycloak/node_modules/patternfly/dist/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/2.0", upstream: "http://172.20.0.2:8080/auth/resources/uq50i/common/keycloak/node_modules/patternfly/dist/fonts/fontawesome-webfont.woff2?v=4.7.0", host: "keycloak.cpnv-srw3.ch"
2022/03/28 08:22:34 [warn] 366#366: *1752 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/0/03/0000000030 while reading upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /auth/resources/uq50i/common/keycloak/node_modules/patternfly/dist/fonts/OpenSans-Regular-webfont.woff2 HTTP/2.0", upstream: "http://172.20.0.2:8080/auth/resources/uq50i/common/keycloak/node_modules/patternfly/dist/fonts/OpenSans-Regular-webfont.woff2", host: "keycloak.cpnv-srw3.ch"
2022/03/28 08:22:34 [warn] 366#366: *1752 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/03/0000000031 while reading upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /auth/resources/uq50i/common/keycloak/node_modules/patternfly/dist/fonts/OpenSans-Semibold-webfont.woff2 HTTP/2.0", upstream: "http://172.20.0.2:8080/auth/resources/uq50i/common/keycloak/node_modules/patternfly/dist/fonts/OpenSans-Semibold-webfont.woff2", host: "keycloak.cpnv-srw3.ch"
2022/03/28 08:22:34 [warn] 366#366: *1752 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/03/0000000032 while reading upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /auth/resources/uq50i/welcome/keycloak/bg.png HTTP/2.0", upstream: "http://172.20.0.2:8080/auth/resources/uq50i/welcome/keycloak/bg.png", host: "keycloak.cpnv-srw3.ch"
2022/03/28 08:25:43 [warn] 450#450: *2226 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/04/0000000046 while reading upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /auth/resources/uq50i/common/keycloak/node_modules/patternfly/dist/fonts/OpenSans-Regular-webfont.woff2 HTTP/2.0", upstream: "http://172.20.0.2:8080/auth/resources/uq50i/common/keycloak/node_modules/patternfly/dist/fonts/OpenSans-Regular-webfont.woff2", host: "keycloak.cpnv-srw3.ch"
2022/03/28 08:25:43 [warn] 450#450: *2226 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/04/0000000047 while reading upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /auth/resources/uq50i/common/keycloak/node_modules/patternfly/dist/fonts/OpenSans-Semibold-webfont.woff2 HTTP/2.0", upstream: "http://172.20.0.2:8080/auth/resources/uq50i/common/keycloak/node_modules/patternfly/dist/fonts/OpenSans-Semibold-webfont.woff2", host: "keycloak.cpnv-srw3.ch"
2022/03/28 08:25:43 [warn] 450#450: *2226 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/04/0000000048 while reading upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /auth/resources/uq50i/common/keycloak/node_modules/patternfly/dist/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/2.0", upstream: "http://172.20.0.2:8080/auth/resources/uq50i/common/keycloak/node_modules/patternfly/dist/fonts/fontawesome-webfont.woff2?v=4.7.0", host: "keycloak.cpnv-srw3.ch"
2022/03/28 08:25:44 [warn] 450#450: *2226 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/9/04/0000000049 while reading upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /auth/resources/uq50i/common/keycloak/lib/ui-ace/min/ace.js HTTP/2.0", upstream: "http://172.20.0.2:8080/auth/resources/uq50i/common/keycloak/lib/ui-ace/min/ace.js", host: "keycloak.cpnv-srw3.ch"
2022/03/28 08:32:19 [warn] 450#450: *2601 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/05/0000000053 while reading upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /auth/admin/master/console/messages.json?lang=en HTTP/2.0", upstream: "http://172.20.0.2:8080/auth/admin/master/console/messages.json?lang=en", host: "keycloak.cpnv-srw3.ch"
2022/03/28 08:33:45 [warn] 450#450: *2740 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/05/0000000056 while reading upstream, client: 10.10.0.40, server: keycloak.cpnv-srw3.ch, request: "GET /auth/admin/master/console/messages.json?lang=en HTTP/2.0", upstream: "http://172.20.0.2:8080/auth/admin/master/console/messages.json?lang=en", host: "keycloak.cpnv-srw3.ch"
